"title","author","journal","year","source","pages","volume","abstract","document_type","doi","url","affiliation","author_keywords","keywords","publisher","issn","language","note","created_at","updated_at","status"
"How to play a MOOC: Practices and simulation","Dario {De Notaris} and Sergio Canazza and Carlo Mariconda and Cristina Paulon","Entertainment Computing","2021","ScienceDirect","100395","37","Massive Open Online Courses are important online study resources. They aim at providing online education to an increasingly large and heterogeneous audience: school pupils, university students or professionals who intend to acquire or develop their skill to better respond to market needs. The growing number of learners (more than 100 million globally at the moment, https://www.classcentral.com/report/mooc-stats-2019/) and courses (over 11 thousand, ibidem) reveals new and unprecedented scenarios in lifelong learning paths. Offering educational products to such an audience requires producers – not only private individuals but also public entities – to evaluate new teaching methods and methodologies for distance learning, in order to encourage participation and reduce their dropping out. Using gamification within an online course seems to contribute to the growth of users’ participation rate, as well as to increase the course completion rate. In this work, the authors will show the interactive solutions that two Italian universities, the University of Naples Federico II – with its Federica Web Learning branch – and the University of Padua set up for their MOOC-based courses.","","https://doi.org/10.1016/j.entcom.2020.100395","https://www.sciencedirect.com/science/article/pii/S1875952120301038","","","MOOC, Augmented learning, Gamification, Dramas, Education","","1875-9521","","","45805.948726852","45805.948726852","Rejected"
"Parasitology Education Before and After the COVID-19 Pandemic","Abdul Jabbar and Charles G. Gauci and Clare A. Anstead","Trends in Parasitology","2021","ScienceDirect","3-6","37","The COVID-19 pandemic has disrupted parasitology curricula worldwide, which is expected to lead to the reshaping of parasitology education. Here, we share our experiences of remote teaching and learning of veterinary parasitology and discuss opportunities offered by remote teaching during COVID-19 lockdowns, enabling the development of interactive online parasitology courses.","","https://doi.org/10.1016/j.pt.2020.10.009","https://www.sciencedirect.com/science/article/pii/S1471492220302944","","","online, parasitology, teaching, synchronous learning, asynchronous learning","","1471-4922","","","45805.948726852","45805.948726852","Rejected"
"Chapter 9 - Adaptive task selection in automated educational software: a comparative study","Rina Azoulay and Esther David and Mireille Avigal and Dorit Hutzler","","2021","ScienceDirect","179-204","","In this study, we consider the challenge of adapting the difficulty level of the tasks suggested to a student using an educational software system. We investigate the effectiveness of different learning algorithms for the challenge of adapting the difficulty of the tasks to a student’s level, and compare their efficiency by means of simulation with virtual students. Our results demonstrate that the methods based on Bayesian inference outperformed most of the other methods, while in dynamic improvement domains, the item response theory method reached the best results. Given the fact that correctly adapting the tasks to the individual learners’ abilities can help them increase their improvement and satisfaction, our study can assist the designers of intelligent tutoring systems in selecting an appropriate adaptation method, given the needs and goals of the educational system, and given the characteristics of the learners.","","https://doi.org/10.1016/B978-0-12-823410-5.00008-5","https://www.sciencedirect.com/science/article/pii/B9780128234105000085","","","Machine learning, educational technology, reinforcement learning, intelligent tutoring systems, adaptive task selection","Academic Press","","","","45805.948726852","45805.948726852","Rejected"
"Chapter Nine - Learning analytics, education data mining, and personalization in health professions education","Janet Corral and Stathis Th. Konstantinidis and Panagiotis D. Bamidis","","2021","ScienceDirect","137-150","","Personalization of student evaluation data and learning application usage has the potential to provide targeted feedback to support self-directed learning and expertise development among learners in health professions education. To provide personalization, health professions programs need to leverage both: (1) the technical infrastructure and analysis for existing student data, and (2) understand the interrelated contexts of learning, teaching, and expertise development within the clinical context. Personalization is more than feeding back results to learners; it also moves into intelligent tutors. Tips for successful adoption of personalization in health professions education, including security, legal, and administrative concerns, are discussed.","","https://doi.org/10.1016/B978-0-12-813144-2.00009-X","https://www.sciencedirect.com/science/article/pii/B978012813144200009X","","","personalization, learning analytics, education data mining, health professions education","Academic Press","","","","45805.948726852","45805.948726852","Rejected"
"Index","","","2021","ScienceDirect","345-351","","","","https://doi.org/10.1016/B978-0-12-823410-5.00025-5","https://www.sciencedirect.com/science/article/pii/B9780128234105000255","","","","Academic Press","","","","45805.948726852","45805.948726852","Rejected"
"Preface","Santi Caballé and Stavros N. Demetriadis and Eduardo Gómez-Sánchez and Pantelis M. Papadopoulos and Armin Weinberger","","2021","ScienceDirect","xxv-xxxiv","","","","https://doi.org/10.1016/B978-0-12-823410-5.00016-4","https://www.sciencedirect.com/science/article/pii/B9780128234105000164","","","","Academic Press","","","","45805.948726852","45805.948726852","Rejected"
"Characterizing Academic Help-seeking Moods for Enrollment Performance of Institutional Online Student","Hongwei Shi and Yang Li and Daocheng Hong","Procedia Computer Science","2021","ScienceDirect","3885-3894","192","Few could have anticipated the sudden and dramatic impact of COVID-19 on all aspects of life, including online academic help-seeking of institutional education. Academic help-seeking is a quite prevalent phenomenon that supports students to learn knowledge and improve academic performance. This study is aiming to understand learners and associate their performances via exploiting academic help-seeking moods with online learning of institutional education setting. Adopting the relevant theories, we propose a novel research model and identify three different online help-seeking moods, which are namely goal-directed seeker, exploratory seeker and avoidant seeker. Goal-directed seekers are described with preference for more challenging assignments and more posting on the platform discussion board frequently. Exploratory seekers hold the highest achievements during all help-seeking moods. Avoidant seekers are well-distinguished by holding the lowest frequency of posting among all moods and the most average time spent on the platform. Students have collective preferences for assignment submission in each help-seeking mood, and deviation from those preferences increases their probability of dropping academic grade significantly. To the best of our knowledge, this research is the first work that characterizes the help-seeking moods and associates moods with the enrollment performance for online education of institutional student.","","https://doi.org/10.1016/j.procs.2021.09.163","https://www.sciencedirect.com/science/article/pii/S1877050921019025","","","Help-seeker, Information Seeking, Online learning, Academic Resources, Education Informatization","","1877-0509","","Knowledge-Based and Intelligent Information & Engineering Systems: Proceedings of the 25th International Conference KES2021","45805.948726852","45805.948726852","Rejected"
"Chapter 13 - Personalizing alternatives for diverse learner groups: readability tools","Debora Jeske and Nadia Pantidi and Mammed Bagher","","2021","ScienceDirect","301-321","","One of the challenges for educators is to identify new ways to meet the needs of increasingly diverse educational cohorts. This conceptual chapter proposes that a number of technological developments (learning analytics, intelligent tutoring systems) may set the stage for the incorporation of new tools—tools that can support learners with varying reading difficulties, from those who are not native speakers of the language of instruction to those who struggle due to a learning disability. The authors make suggestions regarding the general steps which would be required to implement existing readability tools into tutoring and learning management systems effectively. Particular attention here is paid to the concept of personalization of learning and the need for multidisciplinary collaboration to meet diverse learners’ support needs.","","https://doi.org/10.1016/B978-0-12-823410-5.00003-6","https://www.sciencedirect.com/science/article/pii/B9780128234105000036","","","Intelligent tutoring system, learning analytics, personalization, readability, task crafting, disability, dyslexia","Academic Press","","","","45805.948726852","45805.948726852","Rejected"
"Prerequisite-aware course ordering towards getting relevant job opportunities","Yiling Dai and Masatoshi Yoshikawa and Kazunari Sugiyama","Expert Systems with Applications","2021","ScienceDirect","115233","183","Adapting learning experience according to the rapidly-changing job market is essential for students to achieve fruitful learning and successful career development. As building blocks of potential job opportunities, we focus on “technical terminologies” which are frequently required in the job market. Given a technical terminology, we aim at identifying an order of courses which contributes to the acquisition of knowledge about the terminology and also follows the prerequisite relationships among courses. To solve the course ordering problem, we develop a two-step approach, in which course-terminology relatedness is first estimated and then courses are ordered based on the prerequisite relationships and the estimated relatedness. Focusing on the second step, we propose a method based on Markov decision process (MDPOrd) and compare it with three other methods: (1) a method that orders courses based on aggregated relatedness (AggRelOrd), (2) a method that topologically sorts the courses based on personalized PageRank values (PageRankTS), and (3) a method that greedily picks courses based on the average relatedness (GVPickings). In addition to evaluating how the order prioritizes the related courses, we also evaluate from pedagogical perspectives, namely, how the order prioritizes specifically/generally fundamental courses, and how it places courses close to their prerequisites. Experimental results on two course sets show that MDPOrd outperforms the other methods in prioritizing related courses. In addition, MDPOrd is effective in ordering courses close to their prerequisites, but does not work well in highly ranking fundamental courses in the order.","","https://doi.org/10.1016/j.eswa.2021.115233","https://www.sciencedirect.com/science/article/pii/S0957417421006655","","","Course ordering, Prerequisite, Job opportunity, Technical terminology, Markov decision process, Pedagogical perspectives","","0957-4174","","","45805.948726852","45805.948726852","Rejected"
"Online learning: A comprehensive survey","Steven C.H. Hoi and Doyen Sahoo and Jing Lu and Peilin Zhao","Neurocomputing","2021","ScienceDirect","249-289","459","Online learning represents a family of machine learning methods, where a learner attempts to tackle some predictive (or any type of decision-making) task by learning from a sequence of data instances one by one at each time. The goal of online learning is to maximize the accuracy/correctness for the sequence of predictions/decisions made by the online learner given the knowledge of correct answers to previous prediction/learning tasks and possibly additional information. This is in contrast to traditional batch or offline machine learning methods that are often designed to learn a model from the entire training data set at once. Online learning has become a promising technique for learning from continuous streams of data in many real-world applications. This survey aims to provide a comprehensive survey of the online machine learning literature through a systematic review of basic ideas and key principles and a proper categorization of different algorithms and techniques. Generally speaking, according to the types of learning tasks and the forms of feedback information, the existing online learning works can be classified into three major categories: (i) online supervised learning where full feedback information is always available, (ii) online learning with limited feedback, and (iii) online unsupervised learning where no feedback is available. Due to space limitation, the survey will be mainly focused on the first category, but also briefly cover some basics of the other two categories. Finally, we also discuss some open issues and attempt to shed light on potential future research directions in this field.","","https://doi.org/10.1016/j.neucom.2021.04.112","https://www.sciencedirect.com/science/article/pii/S0925231221006706","","","Online learning, Online convex optimization, Sequential decision making","","0925-2312","","","45805.948726852","45805.948726852","Rejected"
"15 - Envisioning Education 4.0—A scenario planning approach to predicting the future","Martin Hamilton","","2021","ScienceDirect","267-283","","What could the future of education look like for libraries, those who run them, and their patrons? In this chapter, we will look at some key trends and how they could play out using a scenario planning approach, and model the potential impact on key actors and our institutions themselves. We will introduce the scenario planning methodology originally developed by Shell in the 1970s and subsequently adopted by groups as diverse as the fashion industry (Forum for the Future, 2019), the International Olympic Committee (IOC, 2020), and the UK’s Government Office for Science (GO-Science, 2017). We will specifically address the extent to which the delivery of education could be transformed by Fourth Industrial Revolution technologies—and what the resulting ‘Education 4.0’ paradigm might look like. Will most universities and colleges as we know them to cease to exist, with everyone having the chance to earn an online qualification from one of the world’s most prestigious institutions or study for a widely respected industry-led certification? Or will formal education become even more vital because of the advanced skills required for careers in areas such as biotechnology and artificial intelligence?","","https://doi.org/10.1016/B978-0-12-822144-0.00015-X","https://www.sciencedirect.com/science/article/pii/B978012822144000015X","","","Education 4.0, Industry 4.0, Scenario planning, Innovation, Technological change","Chandos Publishing","","","","45805.948726852","45805.948726852","Rejected"
"A systematic literature review of supply chain decision making supported by the Internet of Things and Big Data Analytics","Martijn Koot and Martijn R.K. Mes and Maria E. Iacob","Computers & Industrial Engineering","2021","ScienceDirect","107076","154","The willingness to invest in Internet of Things (IoT) and Big Data Analytics (BDA) seems not to depend on supply nor demand of technological innovations. The required sensing and communication technologies have already matured and became affordable for most organizations. Businesses on the other hand require more operational data to address the dynamic and stochastic nature of supply chains. So why should we wait for the actual implementation of tracking and monitoring devices within the supply chain itself? This paper provides an objective overview of state-of-the-art IoT developments in today’s supply chain and logistics research. The main aim is to find examples of academic literature that explain how organizations can incorporate real-time data of physically operating objects into their decision making. A systematic literature review is conducted to gain insight into the IoT’s analytical capabilities, resulting into a list of 79 cross-disciplinary publications. Most researchers integrate the newly developed measuring devices with more traditional ICT infrastructures to either visualize the current way of operating, or to better predict the system’s future state. The resulting health/condition monitoring systems seem to benefit production environments in terms of dependability and quality, while logistics operations are becoming more flexible and faster due to the stronger emphasis on prescriptive analytics (e.g., association and clustering). Further research should extend the IoT’s perception layer with more context-aware devices to promote autonomous decision making, invest in wireless communication networks to stimulate distributed data processing, bridge the gap in between predictive and prescriptive analytics by enriching the spectrum of pattern recognition models used, and validate the benefits of the monitoring systems developed.","","https://doi.org/10.1016/j.cie.2020.107076","https://www.sciencedirect.com/science/article/pii/S0360835220307464","","","Internet of Things, Big Data Analytics, Supply chain management, Decision making, Systematic literature review","","0360-8352","","","45805.948553241","45805.948553241","Rejected"
"CLSA: A novel deep learning model for MOOC dropout prediction","Qian Fu and Zhanghao Gao and Junyi Zhou and Yafeng Zheng","Computers & Electrical Engineering","2021","ScienceDirect","107315","94","MOOCs have attracted hundreds of millions of learners with advantages such as being cost-free and having flexible time and space. However, high dropout rates have become the main issue that hinders their further progress. To solve this problem, this research proposes a pipeline model named CLSA to predict the dropout rate based on learners’ behavior data. The CLSA model first uses a convolutional neural network to extract local features and builds feature relations using a kernel strategy. Then, it feeds this high-dimensional vector generated by the CNN to a long short-term memory network to obtain a time-series incorporated vector representation. After that, it employs a static attention mechanism on the vector to obtain an attention weight on each dimension. When tested on the KDD CUP 2015 dataset, our model reached 87.6% accuracy, which was higher than the previous best model (over 2.8%). The F1-score of our model reached 86.9%, which was 1.6% higher than the previous state-of-the-art result.","","https://doi.org/10.1016/j.compeleceng.2021.107315","https://www.sciencedirect.com/science/article/pii/S0045790621002901","","","Massive open online courses, Dropout prediction, Convolutional neural network, Long short-term memory network, Attention mechanism","","0045-7906","","","45805.948553241","45805.948553241","Rejected"
"Time-and-Concept Enhanced Deep Multidimensional Item Response Theory for interpretable Knowledge Tracing","Yu Su and Zeyu Cheng and Pengfei Luo and Jinze Wu and Lei Zhang and Qi Liu and Shijin Wang","Knowledge-Based Systems","2021","ScienceDirect","106819","218","Knowledge Tracing (KT), namely tracking the knowledge conditions of each student across time, has always been challenging due to the latent and time-varying characteristics of knowledge states. Traditional psychometrical frameworks lack the ability to extract rich representations of exercises or examinees. Deep learning KT models have shown comparable performances, but uninterpretable model parameters have limited their applications. Furthermore, existing frameworks usually cannot handle temporal factors appropriately, as most of them simply apply stochastic processes to simulate fluctuations on knowledge states over time. In this paper, we propose a new framework named Time-and-Concept Enhanced Deep Multidimensional Item Response Theory (TC-MIRT) that integrates the parameters of a Multidimensional Item Response Theory into an improved recurrent neural network. Specifically, two enhanced components are constructed to empower our model with the ability to perform trend forecasting and to generate explainable parameters in each specific domain of knowledge. Experiments implemented on two real-world datasets show that our framework outperforms state-of-the-art KT approaches on performance prediction tasks. Moreover, extensive case analyses also demonstrate that the interpretable parameters of TC-MIRT can be used to evaluate the strengths and weaknesses of students.","","https://doi.org/10.1016/j.knosys.2021.106819","https://www.sciencedirect.com/science/article/pii/S0950705121000824","","","Knowledge Tracing, Recurrent neural network, Interpretable machine learning, Item Response Theory","","0950-7051","","","45805.948553241","45805.948553241","Rejected"
"Before and during COVID-19: A Cohesion Network Analysis of students’ online participation in moodle courses","Maria-Dorinela Dascalu and Stefan Ruseti and Mihai Dascalu and Danielle S. McNamara and Mihai Carabas and Traian Rebedea and Stefan Trausan-Matu","Computers in Human Behavior","2021","ScienceDirect","106780","121","The COVID-19 pandemic has changed the entire world, while the impact and usage of online learning environments has greatly increased. This paper presents a new version of the ReaderBench framework, grounded in Cohesion Network Analysis, which can be used to evaluate the online activity of students as a plug-in feature to Moodle. A Recurrent Neural Network with LSTM cells that combines global features, including participation and initiation indices, with a time series analysis on timeframes is used to predict student grades, while multiple sociograms are generated to observe interaction patterns. Students’ behaviors and interactions are compared before and during COVID-19 using two consecutive yearly instances of an undergraduate course in Algorithm Design, conducted in Romanian using Moodle. The COVID-19 outbreak generated an off-balance, a drastic increase in participation, followed by a decrease towards the end of the semester, compared to the academic year 2018–2019 when lower fluctuations in participation were observed. The prediction model for the 2018–2019 academic year obtained an R2 of 0.27, while the model for the second year obtained a better R2 of 0.34, a value arguably attributable to an increased volume of online activity. Moreover, the best model from the first academic year is partially generalizable to the second year, but explains a considerably lower variance (R2 = 0.13). In addition to the quantitative analysis, a qualitative analysis of changes in student behaviors using comparative sociograms further supported conclusions that there were drastic changes in student behaviors observed as a function of the COVID-19 pandemic.","","https://doi.org/10.1016/j.chb.2021.106780","https://www.sciencedirect.com/science/article/pii/S0747563221001035","","","Cohesion Network Analysis, Moodle, Click-stream data, Sociograms, Learning patterns, Student behavior, Learner interactions","","0747-5632","","","45805.948553241","45805.948553241","Rejected"
"Emerging Online Science Teaching Practices: Insights from High School Physics Teaching Cases in South Korea during COVID-19 Pandemic","Nam-Hwa Kang and Juri Seo","Asia-Pacific Science Education","2021","ScienceDirect","343-383","7","By analyzing cases in South Korea, this study examined high school physics teachers’ online teaching practices during the first semester of school lockdown due to COVID-19. A total of eight physics teachers participated in this study. Data sources included observations of online classes, interviews with the teachers, and lesson materials. Data analysis was informed by social practice theory and literature on online learning. As a result, teachers’ practices were distinguished based on teaching emphases including content explanation, participatory learning, and independent first-hand experience. Through the application of various technological tools, teaching practices varied in terms of the degree of interactions and student self-directedness. Three essential practices of physics teaching, defined as those preserved from on-site teaching, were identified. Those features reflected the nature of schooling and the subject matter. The teachers were found to have professional development opportunities through online teaching experiences. Implications for professional development and further research topics are suggested.
초록
이 연구에서는 COVID-19 로 인한 학교 폐쇄 첫 학기 동안 수행된 한국의 고등학교 물리 교사의 온라인 수업 실천을 탐색하였다. 총 8 명의 물리교사를 대상으로 온라인 수업의 관찰, 교사와의 인터뷰 및 수업 자료를 수집하였고, 데이터 분석은 사회 실천 이론과 온라인 학습에 대한 문헌을 기초로 하였다. 연구 결과 내용설명, 참여학습, 독립적인 직접경험이라는 세 가지 교수 초점에 따라 여러 교사의 실천이 구분되는 것으로 드러났다. 한편, 다양한 기술적 도구의 적용을 통해 수업실천이 상호 작용의 정도와 학생의 자기 주도성 측면에서 다양하게 드러났다. 교사들이 오프라인 수업으로부터 유지하고자 노력한 수업 요소로부터 유추한 물리수업의 필수 특성으로는 학교 교육의 성격을 나타내는 학생의 수업관여 독려하기와 교과의 성격을 반영하는 일상적인 현상을 물리 모델로 나타내기, 물리 모델 검증하기로 드러났다. 연구가 이루어진 기간동안 참여 교사들은 대체로 일관된 온라인 수업 실천을 개발하였고, 온라인 수업 경험을 통해 전문성을 개발할 기회를 가졌다고 인식한 것으로 드러났다. 이러한 결과를 바탕으로 온라인 수업 관련 전문성 개발 및 추가 연구 주제에 대한 시사점을 제시하였다.","","https://doi.org/10.1163/23641177-bja10030","https://www.sciencedirect.com/science/article/pii/S2364117721000074","","","online teaching, science teaching practices, online science teaching practices, physics teaching practices, physics online teaching","","2364-1177","","","45805.948553241","45805.948553241","Rejected"
"The core components of education 4.0 in higher education: Three case studies in engineering education","Jhonattan Miranda and Christelle Navarrete and Julieta Noguez and José-Martin Molina-Espinosa and María-Soledad Ramírez-Montoya and Sergio A. Navarro-Tuch and Martín-Rogelio Bustamante-Bello and José-Bernardo Rosas-Fernández and Arturo Molina","Computers & Electrical Engineering","2021","ScienceDirect","107278","93","Technological progress and its rapid evolution have positively affected the industrial sector and different productive/service sectors. One of the service-sectors that have benefited the most has been Education. In this sector, the implementation of current and emerging technologies combined with innovative pedagogical procedures and best practices is known as Education 4.0, which, in this paper, is described and mapped according to the well-known periods of the four industrial revolutions and related to higher education. Likewise, four core components of Education 4.0 to be used as a reference for the design of new projects in educational innovation are proposed (i) Competencies, (ii) Learning Methods, (iii) Information and Communication Technologies, and (iv) Infrastructure. Finally, three case studies applied to Engineering Education illustrate how the proposed components are considered in educational programs' designs.","","https://doi.org/10.1016/j.compeleceng.2021.107278","https://www.sciencedirect.com/science/article/pii/S0045790621002603","","","Education 4.0, Engineering education, Educational innovation, Higher education","","0045-7906","","","45805.948553241","45805.948553241","Rejected"
"Enhancing topic-detection in computerized assessments of constructed responses with distributional models of language","José Á. Martínez-Huertas and Ricardo Olmos and José A. León","Expert Systems with Applications","2021","ScienceDirect","115621","185","Usually, computerized assessments of constructed responses use a predictive-centered approach instead of a validity-centered one. Here, we compared the convergent and discriminant validity of two computerized assessment methods designed to detect semantic topics in constructed responses: Inbuilt Rubric (IR) and Partial Contents Similarity (PCS). While both methods are distributional models of language and use the same Latent Semantic Analysis (LSA) prior knowledge, they produce different semantic representations. PCS evaluates constructed responses using non-meaningful semantic dimensions (this method is the standard LSA assessment of constructed responses), but IR endows original LSA semantic space coordinates with meaning. In the present study, 255 undergraduate and high school students were allocated one of three texts and were tasked to make a summary. A topic-detection task was conducted comparing IR and PCS methods. Evidence from convergent and discriminant validity was found in favor of the IR method for topic-detection in computerized constructed response assessments. In this line, the multicollinearity of PCS method was larger than the one of IR method, which means that the former is less capable of discriminating between related concepts or meanings. Moreover, the semantic representations of both methods were qualitatively different, that is, they evaluated different concepts or meanings. The implications of these automated assessment methods are also discussed. First, the meaningful coordinates of the Inbuilt Rubric method can accommodate expert rubrics for computerized assessments of constructed responses improving computer-assisted language learning. Second, they can provide high-quality computerized feedback accurately detecting topics in other educational constructed response assessments. Thus, it is concluded that: (1) IR method can represent different concepts and contents of a text, simultaneously mapping a considerable variability of contents in constructed responses; (2) IR method semantic representations have a qualitatively different meaning than the LSA ones and present a desirable multicollinearity that promotes the discriminant validity of the scores of distributional models of language; and (3) IR method can extend the performance and the applications of current LSA semantic representations by endowing the dimensions of the semantic space with semantic meanings.","","https://doi.org/10.1016/j.eswa.2021.115621","https://www.sciencedirect.com/science/article/pii/S0957417421010150","","","Inbuilt rubric, Constructed responses, Summaries, Topic detection, Latent semantic analysis, Automated summary evaluation","","0957-4174","","","45805.948553241","45805.948553241","Rejected"
"Quranic Education and Technology: Reinforcement learning System for Non-Native Arabic Children","Bayan M. Alsharbi and Omar Mubin and Mauricio Novoa","Procedia Computer Science","2021","ScienceDirect","306-313","184","We built a simulator based on reinforcement learning to improve teaching experience in Quranic and Islamic education for non-native Arabic speakers to evaluate their strength and weaknesses and allow the system to help improving the child in one hand, and provide an accurate actual report for each child on the other hand.","","https://doi.org/10.1016/j.procs.2021.04.007","https://www.sciencedirect.com/science/article/pii/S1877050921007808","","","Outletset, Outlet, Nooraniah Qaidah, Reinforcement Learning","","1877-0509","","The 12th International Conference on Ambient Systems, Networks and Technologies (ANT) / The 4th International Conference on Emerging Data and Industry 4.0 (EDI40) / Affiliated Workshops","45805.948553241","45805.948553241","Rejected"
"13c - Digital transformation trends in education","Sayeda Zain","","2021","ScienceDirect","223-234","","With advancements in technology, new applications have been introduced in the education sector. These applications are making classrooms more interactive. The education sector is continuously evolving, and digital transformation is enhancing pedagogy, providing new learning experiences for students. This chapter describes these advances and outlines the support they give to learners with various learning disabilities, those who are working or are carers, and, those who, because of their personal responsibilities and time constraints, cannot attend classes. They can now study at their own pace and can manage their time accordingly. Emerging trends in the 21st century such as gamification, augmented reality, new educational applications, and the Internet of Things are summarized and discussed as innovations, which will change the education environment significantly.","","https://doi.org/10.1016/B978-0-12-822144-0.00036-7","https://www.sciencedirect.com/science/article/pii/B9780128221440000367","","","Digital transformation, Digital literacy, Pedagogy, Skills gap, Accessibility, Higher education trends","Chandos Publishing","","","","45805.948553241","45805.948553241","Rejected"
"Innovation in physical education: Teachers’ perspectives on readiness for wearable technology integration","Hashem A. Almusawi and Christopher M. Durugbo and Afaf M. Bugawa","Computers & Education","2021","ScienceDirect","104185","167","The purpose of this article is to explore physical education teachers' perspectives on their readiness to use and integrate wearable technology as an innovation in physical education. The article presents a case study grounded on an analytic induction logic with a constructivist epistemology and involves semi-structured interviews with 38 public school physical education teachers. Based on a thematic analysis of interview data, the study identifies eight themes on attitudinal shifts, adequate capabilities, convenient use, injury prevention, effective exercises, non-sedentary behavior, and system access. These themes reflect the technological and organizational conditions that enable physical education teachers’ readiness to use and integrate wearable technology in physical education. The article concludes with discussions on theoretical and practical implications of the research, limitations and future directions.","","https://doi.org/10.1016/j.compedu.2021.104185","https://www.sciencedirect.com/science/article/pii/S0360131521000622","","","Kuwait, Physical education, Teachers' perspectives, Technology integration, Wearable technology","","0360-1315","","","45805.948553241","45805.948553241","Rejected"
"Automatic feedback in online learning environments: A systematic literature review","Anderson Pinheiro Cavalcanti and Arthur Barbosa and Ruan Carvalho and Fred Freitas and Yi-Shan Tsai and Dragan Gašević and Rafael Ferreira Mello","Computers and Education: Artificial Intelligence","2021","ScienceDirect","100027","2","Feedback is an essential component of scaffolding for learning. Feedback provides insights into the assistance of learners in terms of achieving learning goals and improving self-regulated skills. In online courses, feedback becomes even more critical since instructors and students are separated geographically and physically. In this context, feedback allows the instructor to customize learning content according to the students' needs. However, giving feedback is a challenging task for instructors, especially in contexts of large cohorts. As a result, several automatic feedback systems have been proposed to reduce the workload on the part of the instructor. Although these systems have started gaining research attention, there have been limited studies that systematically analyze the progress achieved so far as reported in the literature. Thus, this article presents a systematic literature review on automatic feedback generation in learning management systems. The main findings of this review are: (1) 65.07% of the studies demonstrate that automatic feedback increases student performance in activities; (2) 46.03% of the studies demonstrated that there is no evidence that automatic feedback eases instructors’ workload; (3) 82.53% of the studies showed that there is no evidence that manual feedback is more efficient than automatic feedback; and (4) the main method used for automatic feedback provision is the comparison with a desired answer in some subject (such as logic circuits or programming).","","https://doi.org/10.1016/j.caeai.2021.100027","https://www.sciencedirect.com/science/article/pii/S2666920X21000217","","","Educational feedback, Automatic feedback, Systematic review, Online learning environments","","2666-920X","","","45805.948553241","45805.948553241","Rejected"
"Cross-subject EEG emotion classification based on few-label adversarial domain adaption","Yingdong Wang and Jiatong Liu and Qunsheng Ruan and Shuocheng Wang and Chen Wang","Expert Systems with Applications","2021","ScienceDirect","115581","185","Emotion classification signal based on the electroencephalogram (EEG) is an important part of big data associated with health. One of the main challenges in this regard is the varying patterns of EEG indifferent subjects. Domain adaptation is an effective method to reduce the data difference between the source domain and the target domain. However, it is an enormous challenge to make a discriminator-based domain adaptation with a small target data and transform the target domain to the source domain. In the present study, a novel method called “few-label adversarial domain adaption” (FLADA) is proposed for cross-subject emotion classification tasks with small EEG data. The proposed method involves three steps: (a) Selecting subjects of the close source domain forming an adapted list. Few labeled target data are tested based on each emotion model of the source subject to get the subject list of the source domain. (b)Training three models based on each selected subject and the target subject. Three loss functions and six groups’ dataset are designed to get a domain adaption model for each selected source subject. (c) Distilling all classifiers for classifying the target emotion. In general, the main purpose of the proposed method, which originates from the Meta-learning, is to find a feature representation that is broadly suitable for the target subject and source subject with limited labels. The proposed method can be applied to all deep learning oriented models. In order to evaluate the performance of the proposed method, extensive experiments are carried out on SEED and DEAP datasets, which are public datasets. It is found that with a small amount of target data, the proposed FLADA model outperforms the state-of-art methods in terms of accuracy and AUC-ROC. All codes generated in this article are available at github: https://github.com/heibaipei/FLADA.","","https://doi.org/10.1016/j.eswa.2021.115581","https://www.sciencedirect.com/science/article/pii/S0957417421009830","","","Electroencephalogram (EEG), Emotion classification, Cross-subject, Few label adversarial domain adaption","","0957-4174","","","45805.948553241","45805.948553241","Rejected"
"Chapter 3 - Improving MOOCs experience using Learning Analytics and Intelligent Conversational Agent","Tariq Abdullah and Asmaa Sakr","","2021","ScienceDirect","47-70","","Online learning has proved its effectiveness in the last few years among a wide range of learners. Massive Open Online Courses (MOOCs) have revolutionized the shape of learning because they are considered to be a substitutional tool to the conventional educational system for many reasons, such as flexibility in timing and eliminating the economic and geographical constraints to the learners. MOOCs also enable learners from different cultures to communicate and share their knowledge through forums. Nevertheless, MOOCs are encountering several challenges that are required to be addressed, such as the higher dropout rates among learners at different phases of the course, and reduction in participation level of learners. In this chapter, we aim to address the most familiar four challenges and enhance the MOOCs experience through providing a framework of integrating a Learning Analytics technique and Intelligent Conversational Agent (LAICA) to improve the MOOCs experience for learners and educators.","","https://doi.org/10.1016/B978-0-12-823410-5.00010-3","https://www.sciencedirect.com/science/article/pii/B9780128234105000103","","","Chatbot, MOOCs, online education, Learning Analytics, Conversational Agents, Artificial Intelligence","Academic Press","","","","45805.948541667","45805.948541667","Rejected"
"Disaster philanthropy: Exploring the power and influence of for-profit philanthropy in education development during pandemic times","Lara Patil","International Journal of Educational Development","2021","ScienceDirect","102332","81","This article contributes a conceptual analysis of the power and influence of for- profit philanthropy on educational development during pandemic times. Through highlighting for-profit philanthropy, describing its relevance to educational development, and drawing attention to four aspects that are under-examined as for- profit philanthropists enact their philanthropic agendas in response to the COVID- 19 pandemic, disaster philanthropy is presented as a window of opportunity for elite donors to enact changes in public education based on their distinct donor and institutional agendas. Implications for educational development are discussed including shifts in power, definitions and public vs. private returns.","","https://doi.org/10.1016/j.ijedudev.2020.102332","https://www.sciencedirect.com/science/article/pii/S0738059320304910","","","Education development, Education emergency, Non-state actors, Donor logic, Partnerships, Technology","","0738-0593","","","45805.948541667","45805.948541667","Rejected"
